link,price,street,property_type,neighborhood,city,floor,rooms,area_sqm,price_per_sqrm
https://www.yad2.co.il/realestate/item/buyvipdl?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=17,5200000.0,יהושע ברוכי 5,בית פרטי/ קוטג',גילה,ירושלים,0.0,8.0,160.0,32500.0
https://www.yad2.co.il/realestate/item/px34k7s3?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=17,2950000.0,חזקיהו המלך 42,דירה,קטמון הישנה,ירושלים,2.0,2.0,50.0,59000.0
https://www.yad2.co.il/realestate/item/c20xlzyk?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=17,6595000.0,חזקיהו המלך,דירת גן,קטמון הישנה,ירושלים,0.0,4.0,93.0,70913.97849462366
https://www.yad2.co.il/realestate/item/vomk61ng?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=17,5280000.0,רמת שרת,דירה,רמת שרת,ירושלים,13.0,5.0,150.0,35200.0
https://www.yad2.co.il/realestate/item/75c430mt?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=17,4200000.0,איש מצליח 1,גג/ פנטהאוז,חומת שמואל,ירושלים,5.0,6.0,220.0,19090.909090909092
https://www.yad2.co.il/realestate/item/og2wof3m?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=19,3950000.0,החלוץ 23,דירה,בית הכרם,ירושלים,2.0,5.0,96.0,41145.833333333336
https://www.yad2.co.il/realestate/item/9yitr7fr?opened-from=feed&component-type=main_feed&spot=standard&location=37&pagination=19,3270000.0,שושנה פוליאקוב,דירה,קרית משה,ירושלים,2.0,3.0,70.0,46714.28571428572
https://www.yad2.co.il/realestate/item/vgh9h24j?opened-from=feed&component-type=main_feed&spot=standard&location=39&pagination=19,4200000.0,"רשב""ג",דירה,קטמונים,ירושלים,1.0,5.0,130.0,32307.69230769231
https://www.yad2.co.il/realestate/item/bv8wrf4w?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=19,2090000.0,יאנוש קורצ'אק,דירה,קרית היובל,ירושלים,1.0,2.0,55.0,38000.0
https://www.yad2.co.il/realestate/item/2ivnw543?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=20,3400000.0,רבדים,דירת גן,ארנונה,ירושלים,1.0,3.0,94.0,36170.21276595745
https://www.yad2.co.il/realestate/item/wjiq6hu5?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=21,2990000.0,גרשון אבנר 10,דירה,ארמון הנציב,ירושלים,1.0,4.0,110.0,27181.81818181818
https://www.yad2.co.il/realestate/item/ece8vw7n?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=21,2090000.0,מצפה 33,דירה,מחנה יהודה - לב העיר,ירושלים,0.0,2.0,55.0,38000.0
https://www.yad2.co.il/realestate/item/0lcnpsfg?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=21,3950000.0,השופט חיים כהן 14,דירה,ארנונה,ירושלים,3.0,5.0,112.0,35267.857142857145
https://www.yad2.co.il/realestate/item/6kzoadpt?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=21,3280000.0,רחל המשוררת,דירה,בית הכרם,ירושלים,2.0,4.0,90.0,36444.444444444445
https://www.yad2.co.il/realestate/item/xwu2cjqz?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=21,9900000.0,קטמון הישנה,דירה,קטמון הישנה,ירושלים,6.0,4.0,160.0,61875.0
https://www.yad2.co.il/realestate/item/2gqvbuur?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=22,2350000.0,בר יוחאי 7,דירה,קטמונים,ירושלים,0.0,2.0,30.0,78333.33333333333
https://www.yad2.co.il/realestate/item/y55o3d8m?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=23,4390000.0,משה קול,דירה,בית הכרם,ירושלים,3.0,4.0,95.0,46210.52631578947
https://www.yad2.co.il/realestate/item/cch4wz3f?opened-from=feed&component-type=main_feed&spot=standard&location=33&pagination=23,2320000.0,הרב אברהם מרדכי ווינגרטן,דירה,חומת שמואל,ירושלים,3.0,3.0,91.0,25494.505494505494
https://www.yad2.co.il/realestate/item/wq8q13ts?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=23,6350000.0,יהושע בן נון,דופלקס,המושבה היוונית,ירושלים,0.0,5.0,135.0,47037.03703703704
https://www.yad2.co.il/realestate/item/2crp08zq?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=24,3950000.0,גבעת משואה,דירת גן,גבעת משואה,ירושלים,1.0,5.0,200.0,19750.0
https://www.yad2.co.il/realestate/item/z336ya1j?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=24,2699000.0,פנחס רוזן,דירה,רמת שרת,ירושלים,7.0,3.0,101.0,26722.772277227723
https://www.yad2.co.il/realestate/item/puq1mp8l?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=24,3240000.0,שבתאי הנגבי,דירה,גילה,ירושלים,0.0,5.0,170.0,19058.82352941177
https://www.yad2.co.il/realestate/item/x79v9q1h?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=24,2600000.0,הארי טרומן,דירה,רמות,ירושלים,8.0,3.0,92.0,28260.869565217392
https://www.yad2.co.il/realestate/item/r44ifnzm?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=25,3200000.0,ההגנה 5,דירה,הגבעה הצרפתית,ירושלים,6.0,4.0,80.0,40000.0
https://www.yad2.co.il/realestate/item/05t8xrtz?opened-from=feed&component-type=main_feed&spot=standard&location=30&pagination=25,3850000.0,הבנאי,דירה,בית הכרם,ירושלים,3.0,4.0,109.0,35321.10091743119
https://www.yad2.co.il/realestate/item/z176vfw0?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=25,3380000.0,הדף היומי 607,דירה,רמות,ירושלים,2.0,4.0,110.0,30727.272727272728
https://www.yad2.co.il/realestate/item/bvy5khka?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=26,4350000.0,משה קול,דופלקס,בית הכרם,ירושלים,3.0,4.0,112.0,38839.28571428572
https://www.yad2.co.il/realestate/item/3wz1p1sp?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=26,4850000.0,שדרות הרצל,דירה,בית הכרם,ירושלים,5.0,4.0,115.0,42173.913043478264
https://www.yad2.co.il/realestate/item/7kt43l9n?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=26,2290000.0,אנוסי משהד,דירה,ארמון הנציב,ירושלים,2.0,4.0,92.0,24891.304347826088
https://www.yad2.co.il/realestate/item/ymt37ug1?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=27,3650000.0,החלוץ,דירה,בית הכרם,ירושלים,2.0,4.0,90.0,40555.555555555555
https://www.yad2.co.il/realestate/item/lfyzdc1i?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=28,3390000.0,אברהם פררה,דירה,הולילנד,ירושלים,8.0,4.0,110.0,30818.18181818182
https://www.yad2.co.il/realestate/item/7t4fhbt1?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=28,5114000.0,שדרות המאירי,דירה,קרית משה,ירושלים,5.0,5.0,140.0,36528.57142857143
https://www.yad2.co.il/realestate/item/7c0uhdwf?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=29,2960000.0,אריה ורשבסקי,דירה,חומת שמואל,ירושלים,11.0,5.0,110.0,26909.090909090908
https://www.yad2.co.il/realestate/item/jltk2z2g?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=29,4370000.0,עמנואל זיסמן,גג/ פנטהאוז,חומת שמואל,ירושלים,9.0,5.0,250.0,17480.0
https://www.yad2.co.il/realestate/item/s0r2ybs5?opened-from=feed&component-type=main_feed&spot=standard&location=38&pagination=29,3600000.0,קטמונים,דירת גן,קטמונים,ירושלים,0.0,4.0,140.0,25714.285714285714
https://www.yad2.co.il/realestate/item/y9uqjx62?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=30,4250000.0,הרב אברהם זקן 1,דירה,מורדות ארנונה,ירושלים,14.0,5.0,138.0,30797.101449275364
https://www.yad2.co.il/realestate/item/0iix1pfr?opened-from=feed&component-type=main_feed&spot=standard&location=23&pagination=30,4400000.0,ריש לקיש,דירה,קטמון הישנה,ירושלים,4.0,4.0,130.0,33846.153846153844
https://www.yad2.co.il/realestate/item/6g77mef1?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=30,1950000.0,יפה נוף,דירה,בית הכרם,ירושלים,2.0,2.0,61.0,31967.213114754097
https://www.yad2.co.il/realestate/item/2hr2i1x0?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=31,7850000.0,חיים נחמן ביאליק 8,בית פרטי/ קוטג',בית הכרם,ירושלים,0.0,5.0,160.0,49062.5
https://www.yad2.co.il/realestate/item/w4u1ctvx?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=31,2550000.0,הציונות,דירה,קרית היובל,ירושלים,0.0,3.0,91.0,28021.978021978022
https://www.yad2.co.il/realestate/item/m51n9xbh?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=31,3490000.0,החלוץ,דירה,בית הכרם,ירושלים,1.0,3.0,77.0,45324.67532467532
https://www.yad2.co.il/realestate/item/xyqvfol3?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=32,2700000.0,צונדק 14,דירה,רמות,ירושלים,2.0,3.0,73.0,36986.30136986302
https://www.yad2.co.il/realestate/item/c4o33g1i?opened-from=feed&component-type=main_feed&spot=standard&location=29&pagination=32,9350000.0,רחל המשוררת 4,דירת גן,בית הכרם,ירושלים,0.0,6.0,354.0,26412.429378531073
https://www.yad2.co.il/realestate/item/ggoklmt8?opened-from=feed&component-type=main_feed&spot=standard&location=33&pagination=32,3500000.0,יפה רום,דירה,גילה,ירושלים,0.0,5.0,200.0,17500.0
https://www.yad2.co.il/realestate/item/oqbvo07k?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=33,2190000.0,משטרת היישובים 3,דירה,פסגת זאב,ירושלים,2.0,3.0,70.0,31285.714285714286
https://www.yad2.co.il/realestate/item/31nfxu9t?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=33,3180000.0,בוליביה 14,דירה,קרית היובל,ירושלים,4.0,4.0,94.0,33829.78723404255
https://www.yad2.co.il/realestate/item/5n0u9j07?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=33,3250000.0,הרב שרירא גאון,דירה,גבעת שאול,ירושלים,2.0,3.0,85.0,38235.294117647056
https://www.yad2.co.il/realestate/item/4qovjdmo?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=34,5800000.0,אגריפס 40,דירה,מחנה יהודה - לב העיר,ירושלים,3.0,6.0,150.0,38666.666666666664
https://www.yad2.co.il/realestate/item/6ki4qtrd?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=34,4100000.0,יפו 210,דירה,מקור ברוך,ירושלים,9.0,4.0,90.0,45555.555555555555
https://www.yad2.co.il/realestate/item/14f2m5ys?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=34,4360000.0,אשר וינר 1,דירת גן,ארמון הנציב,ירושלים,1.0,4.0,235.0,18553.191489361703
https://www.yad2.co.il/realestate/item/8cytfjzf?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=36,3090000.0,גרשון אבנר,דירה,ארמון הנציב,ירושלים,7.0,4.0,110.0,28090.909090909092
https://www.yad2.co.il/realestate/item/2n1rh39z?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=37,3480000.0,התיבונים 6,דירה,רחביה,ירושלים,2.0,3.0,72.0,48333.333333333336
https://www.yad2.co.il/realestate/item/tf6qz9yc?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=37,2410000.0,הנרייטה סולד 7,דירה,קרית היובל,ירושלים,10.0,2.0,48.0,50208.333333333336
https://www.yad2.co.il/realestate/item/qqcv0ry6?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=37,4000000.0,חיים גרינברג 1355,דירה,רמות,ירושלים,1.0,4.0,120.0,33333.333333333336
https://www.yad2.co.il/realestate/item/c0p8ykkm?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=37,3870000.0,הדישון 2,דירה,מלחה,ירושלים,1.0,4.0,125.0,30960.0
https://www.yad2.co.il/realestate/item/fferomel?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=37,3890000.0,יצחק ארנסט נבנצל,דירה,מורדות ארנונה,ירושלים,11.0,4.0,106.0,36698.11320754717
https://www.yad2.co.il/realestate/item/f3r7myf2?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=37,3250000.0,הרב ניסנבוים 11,דירה,קרית משה,ירושלים,7.0,4.0,80.0,40625.0
https://www.yad2.co.il/realestate/item/vr37qnmf?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=38,2700000.0,שלמה ארגוב 6,דירה,רמות רחל,ירושלים,5.0,2.0,79.0,34177.215189873416
https://www.yad2.co.il/realestate/item/f3r7myf2?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=38,3250000.0,הרב ניסנבוים 11,דירה,קרית משה,ירושלים,7.0,4.0,80.0,40625.0
https://www.yad2.co.il/realestate/item/i55o9y1v?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=38,2750000.0,"בית הכרם, רמת בית הכרם",דירה,בית הכרם,ירושלים,2.0,3.0,70.0,39285.71428571428
https://www.yad2.co.il/realestate/item/4mylcxqq?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=39,11200000.0,משה קול 17,גג/ פנטהאוז,בית הכרם,ירושלים,4.0,3.0,250.0,44800.0
https://www.yad2.co.il/realestate/item/4h6ui6vg?opened-from=feed&component-type=main_feed&spot=standard&location=33&pagination=39,10500000.0,רקם,בית פרטי/ קוטג',מלחה,ירושלים,0.0,8.0,137.0,76642.33576642336
https://www.yad2.co.il/realestate/item/89v39lwv?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=40,2280000.0,אברהם שטרן 8,דירה,קרית היובל,ירושלים,4.0,3.0,62.0,36774.1935483871
https://www.yad2.co.il/realestate/item/gdhxjis2?opened-from=feed&component-type=main_feed&spot=standard&location=29&pagination=40,4550000.0,"מלחה, מנחת",דירת גן,מלחה,ירושלים,1.0,5.0,110.0,41363.63636363636
https://www.yad2.co.il/realestate/item/23u7h1bx?opened-from=feed&component-type=main_feed&spot=standard&location=30&pagination=40,3290000.0,התאנה,דירת גן,גילה,ירושלים,1.0,5.0,155.0,21225.8064516129
https://www.yad2.co.il/realestate/item/z0adr82o?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=41,3840000.0,יעקב טהון 13,דירה,קרית היובל,ירושלים,4.0,4.0,96.0,40000.0
https://www.yad2.co.il/realestate/item/ly7vwxhe?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=41,2200000.0,עולי הגרדום 53,דירה,ארמון הנציב,ירושלים,1.0,4.0,83.0,26506.024096385543
https://www.yad2.co.il/realestate/item/0b135s52?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=41,6100000.0,הארי טרומן 35,דירה,רמות,ירושלים,7.0,5.0,122.0,50000.0
https://www.yad2.co.il/realestate/item/tchx5p0z?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=41,3480000.0,התאנה,דירת גן,גילה,ירושלים,0.0,7.0,160.0,21750.0
https://www.yad2.co.il/realestate/item/v8xk27jq?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=42,1960000.0,התאנה 3,דירה,גילה,ירושלים,1.0,3.0,60.0,32666.666666666668
https://www.yad2.co.il/realestate/item/bqd2nk2x?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=42,6480000.0,"שח""ל 45",דירת גן,גבעת מרדכי,ירושלים,1.0,5.0,269.0,24089.21933085502
https://www.yad2.co.il/realestate/item/uqabioe1?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=42,2990000.0,הנרייטה סולד,דירה,קרית היובל,ירושלים,13.0,3.0,84.0,35595.23809523809
https://www.yad2.co.il/realestate/item/2lxgt809?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=43,1550000.0,גולומב 23,דיור מוגן,קרית היובל,ירושלים,12.0,2.0,60.0,25833.333333333332
https://www.yad2.co.il/realestate/item/aykcti4d?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=43,3180000.0,חוזה סן מרטין 6,דירה,קטמונים,ירושלים,2.0,3.0,59.0,53898.30508474576
https://www.yad2.co.il/realestate/item/sxe1u7h7?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=43,3250000.0,שושנה פוליאקוב,דירה,ירושלים,ירושלים,4.0,3.0,80.0,40625.0
https://www.yad2.co.il/realestate/item/oxkwbto3?opened-from=feed&component-type=main_feed&spot=standard&location=33&pagination=43,5500000.0,הבנאי,דירה,בית הכרם,ירושלים,3.0,4.0,132.0,41666.666666666664
